cols_as_filter: f_feed_par,,,,,,,,,,,,,,,
f_feed,f_species,f_animal,GE,ASH,N,P,K,rough,ME,AAT,PBV,DE,fat,NE,AME
soybeans,pigs,sows,,,,,,,,,,,,,
soybean meal,pigs,sows,,,,,,,,,,,,9.9,
soybean protein concentrate,pigs,sows,,,,,,,,,,,,10.3,
rapeseed meal,pigs,sows,,,,,,,,,,,,7.7,
rapeseed cake,pigs,sows,,,,,,,,,,,,10.2,
sunflower seed meal,pigs,sows,,,,,,,,,,,,6.5,
palm kernel expeller,pigs,sows,,,,,,,,,,,,6.2,
luzern meal,pigs,sows,,,,,,,,,,,,,
wheat bran,pigs,sows,,,,,,,,,,,,7.8,
"wheat bran, fine",pigs,sows,,,,,,,,,,,,9.2,
oat hulls,pigs,sows,,,,,,,,,,,,,
oat bran,pigs,sows,,,,,,,,,,,,,
rye bran,pigs,sows,,,,,,,,,,,,,
"wheat distillers grain, dry",pigs,sows,,,,,,,,,,,,8.7,
"wheat distillers grain, wet",pigs,sows,,,,,,,,,,,,8.9,
barley brewers grain,pigs,sows,,,,,,,,,,,,7.088888889,
maize gluten meal,pigs,sows,,,,,,,,,,,,13.3,
pea protein,pigs,sows,,,,,,,,,,,,12.3,
sugar beet molasses,pigs,sows,,,,,,,,,,,,9,
sugar beet pulp,pigs,sows,,,,,,,,,,,,8,
whey,pigs,sows,,,,,,,,,,,,12.2,
whey powder,pigs,sows,,,,,,,,,,,,12.2,
potatoe protein,pigs,sows,,,,,,,,,,,,11.3,
potatoe offals,pigs,sows,,,,,,,,,,,,,
fish meal,pigs,sows,,,,,,,,,,,,10.8,
black soldier fly larvae meal,pigs,sows,,,,,,,,,,,,9.6,
minerals,pigs,sows,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,
"ley silage, 1st cut",poultry,,,,,,,,,,,,,,
"ley silage, regrowth",poultry,,,,,,,,,,,,,,
other silage,poultry,,,,,,,,,,,,,,
hay,poultry,,,,,,,,,,,,,,
maize silage,poultry,,,,,,,,,,,,,,
grass meal,poultry,,,,,,,,,,,,,,5.6
grazing,poultry,,,,,,,,,,,,,,
wheat,poultry,,,,,,,,,,,,,,14.71264368
barley,poultry,,,,,,,,,,,,,,13.56321839
oats,poultry,,,,,,,,,,,,,,12.29885057
triticale,poultry,,,,,,,,,,,,,,14.60674157
rye,poultry,,,,,,,,,,,,,,12.87356322
maize,poultry,,,,,,,,,,,,,,15.86206897
peas,poultry,,,,,,,,,,,,,,12.64367816
broad beans,poultry,,,,,,,,,,,,,,
rapeseed,poultry,,,,,,,,,,,,,,16.8
linseed,poultry,,,,,,,,,,,,,,
vegetable oils,poultry,,,,,,,,,,,,,,38.08080808
straw,poultry,,,,,,,,,,,,,,
soybeans,poultry,,,,,,,,,,,,,,16
soybean meal,poultry,,,,,,,,,,,,,,10.45977011
soybean protein concentrate,poultry,,,,,,,,,,,,,,
rapeseed meal,poultry,,,,,,,,,,,,,,8.444444444
rapeseed cake,poultry,,,,,,,,,,,,,,10.5
sunflower seed meal,poultry,,,,,,,,,,,,,,8.6
palm kernel expeller,poultry,,,,,,,,,,,,,,
luzern meal,poultry,,,,,,,,,,,,,,
wheat bran,poultry,,,,,,,,,,,,,,7.816091954
"wheat bran, fine",poultry,,,,,,,,,,,,,,14.02298851
oat hulls,poultry,,,,,,,,,,,,,,
oat bran,poultry,,,,,,,,,,,,,,
rye bran,poultry,,,,,,,,,,,,,,
"wheat distillers grain, dry",poultry,,,,,,,,,,,,,,
"wheat distillers grain, wet",poultry,,,,,,,,,,,,,,
barley brewers grain,poultry,,,,,,,,,,,,,,
maize gluten meal,poultry,,,,,,,,,,,,,,16.32183908
pea protein,poultry,,,,,,,,,,,,,,14.9
sugar beet molasses,poultry,,,,,,,,,,,,,,
sugar beet pulp,poultry,,,,,,,,,,,,,,
whey,poultry,,,,,,,,,,,,,,
whey powder,poultry,,,,,,,,,,,,,,
potatoe protein,poultry,,,,,,,,,,,,,,16
potatoe offals,poultry,,,,,,,,,,,,,,
fish meal,poultry,,,,,,,,,,,,,,13.69565217
black soldier fly larvae meal,poultry,,,,,,,,,,,,,,15
minerals,poultry,,,,,,,,,,,,,,
